,Zone,Resort Name,State,Base Elevation (ft),Top Elevation (ft),Snowfall Score,Total Snow Score With Preservation,Overall Ranking,Regional Ranking,State Ranking,True Snow Per Year (inches),Snow Quality Rank,Dump Potential Rank,MonthsMoreThan90Snow,MonthsLessThan30Snow,latitude,longitude,Acreage,Total Runs,Longest Run (ft),Lifts,Uphill Max (ppl/hr),Terrain Parks,Halfpipes
0,Rockies,Alta,UT,8530,10550,96.1,100.0,4,4,2,517, 1, 2,49.3,1.3,40.589613,-111.638825,2200 ,50,16800 ,11,11248  ,0,0
1,Rockies,Snowbird,UT,7760,11000,90.0,97.5,3,3,1,497, 2, 5,37.0,3.4,40.583257,-111.655183,2500 ,85,13200 ,11,17400  ,1,0
2,Rockies,Brighton,UT,8750,10500,92.4,95.2,20,16,5,504, 3, 3,44.2,4.3,40.598672,-111.583739,1050 ,66,15840 ,6,10100  ,4,2
3,Canadian-Rockies,Powder King,BC,3000,5500,92.3,93.3,51,6,6,492, 4, 4,45.0,3.0,55.364552,-122.619405,925 ,37,2800 ,3,2600  ,0,0
4,Rockies,Grand Targhee,WY,7408,10000,88.9,91.9,19,15,2,466, 5, 6,40.4,3.5,43.787501,-110.959235,3000 ,72,14675 ,5,7200  ,1,0
5,Rockies,Solitude,UT,7988,10035,82.8,88.6,16,12,4,437, 6, 9,34.0,7.5,40.618741,-111.591571,1200 ,64,18480 ,8,14450  ,0,0
6,Rockies,Wolf Creek,CO,10300,11904,72.3,86.1,36,26,15,387, 7, 21,27.1,18.6,37.472384,-106.791812,1600 ,77,10560 ,7,10560  ,0,0
7,Northwest,Mt Baker,WA,3589,5089,100.0,84.5,37,4,3,651, 8, 1,63.6,4.9,48.861115,-121.654422,1000 ,38,9187 ,10,11000  ,1,0
8,Sierras,Kirkwood,CA,7800,9800,76.5,82.7,26,3,3,459, 9, 14,44.3,18.1,38.685141,-120.065592,2300 ,72,13200 ,14,19905  ,4,1
9,Northwest,Alyeska,AK,250,2750,87.8,82.5,25,1,1,488, 10, 7,45.5,9.4,60.969494,-149.096403,1500 ,73,10560 ,9,10335  ,0,0
10,Rockies,Winter Park,CO,9000,12060,69.6,82.1,12,10,5,347, 11, 29,10.4,9.3,39.887529,-105.763174,3081 ,134,10560 ,25,40000  ,1,0
11,Rockies,Loveland,CO,10800,12700,68.7,80.5,32,24,13,344, 12, 32,11.6,11.0,39.680175,-105.896873,1800 ,93,10560 ,10,14293  ,1,0
12,BC-Coastal,Whistler,BC,2140,7494,75.6,79.3,7,1,1,469,,,,,50.116775,-122.955551,8171 ,200,36960 ,37,65507  ,4,1
13,Rockies,Vail,CO,8120,11570,71.7,78.3,5,5,2,354, 14, 22,18.2,10.7,39.6411729849559,-106.38139744683112,5289 ,193,15840 ,31,53381  ,4,1
14,Canadian-Rockies,Whitewater,BC,4523,6567,77.2,78.2,9,1,2,395, 16, 12,27.6,4.8,49.442775,-117.145046,1184 ,76,5280 ,4,3000  ,0,0
15,Rockies,A-Basin,CO,10780,12472,55.9,78.2,30,22,11,314, 15, 78,6.4,23.2,39.640982,-105.872032,900 ,108,8520 ,7,10700  ,2,1
16,Rockies,Beaver Creek,CO,8100,11440,65.4,77.4,14,11,6,325, 17, 43,8.3,13.1,39.6029021075664,-106.51605911212377,1815 ,149,14520 ,25,34200  ,3,1
17,Sierras,Mammoth,CA,7953,11053,59.7,75.4,15,1,1,354, 18, 65,31.5,29.0,37.6452932996768,-118.99910640938838,3500 ,150,15840 ,28,54000  ,8,3
18,Rockies,Lookout Pass,ID,4500,5650,80.9,75.0,82,46,8,448, 19, 10,36.0,8.0,47.456503,-115.697175,540 ,34,7920 ,4,  ,0,0
19,Canadian-Rockies,Shames Mountain,BC,2300,3900,83.4,74.9,79,12,11,480, 20, 8,35.0,7.0,54.485832,-128.955237,252 ,28,13200 ,3,2100  ,0,0
20,Northwest,Mt Bachelor,OR,5700,9065,67.5,74.6,45,6,2,383, 21, 34,25.5,17.7,43.989712,-121.684822,3683 ,71,7920 ,14,  ,4,1
21,Rockies,Snowmass,CO,8104,12510,59.0,74.3,6,6,3,295, 22, 68,4.4,19.6,39.208215,-106.949887,3132 ,91,27984 ,20,31080  ,3,2
22,Rockies,Powder Mountain ,UT,6895,8900,71.4,74.2,38,27,7,350, 24, 24,20.0,9.0,41.379095,-111.778854,3200 ,124,15840 ,7,6350  ,2,0
23,Rockies,Steamboat,CO,6900,10568,73.4,74.2,8,7,4,368, 23, 18,16.6,8.3,40.457511,-106.80591,2965 ,165,15840 ,18,41505  ,4,2
24,Rockies,Copper,CO,9712,12313,57.0,74.1,31,23,12,278, 25, 74,3.8,21.1,39.501441,-106.15542,2465 ,126,14784 ,22,32324  ,3,0
25,Rockies,Pomerelle,ID,8000,9000,66.0,73.5,68,38,5,325, 26, 42,18.0,13.0,42.333613,-113.586372,500 ,24,7938 ,3,3100  ,2,1
26,Rockies,Eagle Point,UT,9001,10401,67.3,72.8,72,42,12,325, 27, 35,18.0,13.0,38.3191149,-112.3839455,1400 ,35,10560 ,6,  ,1,0
27,Rockies,Jackson Hole,WY,6311,10450,75.2,72.4,1,1,1,368, 29, 17,29.7,9.9,43.588023162,-110.8318319,2500 ,116,38000 ,12,17833  ,5,0
28,Rockies,Monarch,CO,10790,11952,57.3,72.4,77,45,18,284, 28, 73,4.8,22.4,38.544406,-106.314552,800 ,63,5280 ,7,6100  ,3,0
29,Canadian-Rockies,Revelstoke,BC,1680,7300,71.5,71.6,13,2,3,367, 30, 23,11.3,2.2,50.9581408,-118.1563506,3031 ,40,49632 ,4,6000  ,0,0
30,Rockies,Brian Head,UT,9600,11307,62.0,71.2,53,32,10,308, 31, 53,13.6,19.0,37.693482,-112.849592,650 ,65,7920 ,9,10500  ,2,1
31,Rockies,Breckenridge,CO,9600,12840,59.3,70.6,21,17,9,282, 32, 67,5.4,17.5,39.481255,-106.066833,2358 ,155,18480 ,31,37880  ,2,0
32,Sierras,Sugar Bowl,CA,6883,8383,73.2,70.3,54,7,7,453, 33, 19,39.5,21.4,39.305679,-120.338555,1500 ,102,15839 ,13,21740  ,1,0
33,Rockies,Telluride,CO,8725,12570,52.4,70.2,2,2,1,276, 34, 95,4.8,23.1,37.936582,-107.845187,2000 ,125,24288 ,18,22386  ,0,0
34,Rockies,Lost Trail,MT,6400,8200,62.0,69.7,75,44,4,300, 35, 54,14.0,15.0,45.911989,-114.076592,900 ,45,6500 ,5,  ,3,0
35,Northwest,Eaglecrest,AK,1200,2600,69.9,69.6,65,9,2,350, 36, 28,24.0,12.0,58.267734,-134.513987,640 ,36,10583 ,4,2600  ,1,0
36,Canadian-Rockies,Fernie,BC,3500,7050,71.3,69.4,29,3,4,376, 37, 26,25.1,10.3,49.464147,-115.090348,2504 ,142,15840 ,10,14916  ,0,0
37,Rockies,Park City,UT,6900,10000,60.7,69.0,11,9,3,288, 38, 58,9.6,15.3,40.65515,-111.508509,7300 ,324,18480 ,41,31000  ,4,5
38,Canadian-Rockies,Sunshine Village,AB,5440,8954,52.8,68.3,47,5,1,258, 39, 92,3.6,26.5,51.095574,-115.772413,3358 ,107,26400 ,12,20000  ,0,0
39,Rockies,Deer Valley,UT,6570,9570,60.0,67.8,22,18,6,275, 40, 61,10.0,15.0,40.638479,-111.479326,2026 ,100,10560 ,22,39700  ,0,0
40,Rockies,Big Sky,MT,7500,11166,53.9,67.6,10,8,1,286, 41, 85,1.7,17.8,45.284698,-111.401476,5809 ,308,31680 ,21,38387  ,7,0
41,Canadian-Rockies,Big White,BC,4950,7606,57.8,67.6,74,10,9,282, 42, 72,3.4,13.8,49.723902,-118.928,2765 ,118,23760 ,16,28000  ,0,0
42,Canadian-Rockies,Castle Mountain,BC,4630,7463,58.0,67.0,66,8,8,278, 43, 70,6.6,18.6,49.315839,-114.416891,1400 ,104,16404 ,6,5700  ,0,0
43,Northwest,Stevens Pass,WA,4061,5845,79.2,66.8,34,3,2,474, 44, 11,36.5,7.6,47.74367,-121.091464,1125 ,37,5800 ,10,15800  ,1,0
44,Northwest,Anthony Lakes,OR,7100,8000,60.8,66.5,96,12,4,300, 45, 57,14.0,15.0,44.962974,-118.233505,1100 ,21,7920 ,3,  ,1,0
45,Rockies,Beaver Mountain,UT,7200,8800,60.0,66.5,69,39,11,300, 46, 62,10.0,20.0,41.97214,-111.553318,525 ,23,10560 ,3,2700  ,2,0
46,Rockies,Aspen Highlands,CO,8040,11675,47.5,66.4,17,13,7,252, 47, 112,3.2,26.5,39.184169,-106.85493,1028 ,118,18480 ,5,6500  ,0,0
47,Rockies,Taos,NM,9207,12450,42.2,66.1,27,20,1,254, 48, 136,4.7,31.9,36.593852,-105.450903,1294 ,110,30360 ,13,15000  ,1,0
48,Sierras,Mt Rose,NV,8260,9700,53.7,66.0,62,9,1,344, 49, 86,25.0,33.6,39.328986,-119.885283,1200 ,60,12000 ,8,11000  ,3,0
49,Rockies,Purgatory,CO,8793,10822,52.4,65.7,55,33,16,264, 51, 96,6.8,31.2,37.631261,-107.814291,1360 ,88,7920 ,10,10050  ,5,0
50,Rockies,Bridger Bowl,MT,6100,8800,59.9,65.7,44,29,3,303, 50, 63,6.7,13.9,45.81727,-110.883318,2000 ,71,15840 ,7,  ,0,0
51,Rockies,Snowbasin,UT,6291,9250,60.5,65.6,41,28,8,316, 52, 60,11.8,23.0,41.217629,-111.85681,2820 ,104,15840 ,12,14650  ,4,1
52,Rockies,Aspen Mountain,CO,7945,11212,47.4,65.5,18,14,8,250, 54, 113,3.2,26.5,39.185866,-106.818395,675 ,76,15840 ,8,10755  ,0,0
53,Northwest,Timberline,OR,4850,8540,75.4,65.5,49,7,3,450, 53, 16,34.0,12.0,45.331634,-121.711528,1415 ,41,6336 ,12,9869  ,5,1
