Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Avg
1994	153.2	154.0	154.3	154.4	154.2	154.8	155.2	155.9	156.1	156.4	156.7	156.3	155.1
1995	157.1	157.6	158.0	158.3	158.5	158.9	159.2	159.7	160.0	160.3	160.5	160.5	159.1
1996	161.4	162.2	162.8	162.9	163.0	163.1	163.4	164.0	164.6	165.1	165.4	165.7	163.6
1997	166.2	166.9	167.3	167.1	166.8	167.0	167.6	167.8	168.4	168.7	168.5	168.4	167.6
1998	168.8	169.1	169.3	169.5	169.4	169.6	169.9	170.5	170.6	171.3	171.2	171.2	170.0
1999	171.4	171.6	171.9	172.8	172.8	173.1	173.4	174.1	174.8	175.5	175.5	175.5	173.5
2000	176.2	177.6	178.5	178.5	178.4	179.0	179.8	179.9	180.7	181.2	181.5	181.3	179.4
2001	182.2	182.8	183.7	184.2	184.6	185.3	185.0	185.1	185.1	185.0	185.0	184.2	184.4
2002	184.9	186.1	187.0	187.8	187.7	187.8	188.3	189.3	189.5	189.9	190.1	189.6	188.2
2003	190.5	191.7	193.0	192.6	192.7	192.8	193.5	194.3	195.0	195.4	195.1	194.9	193.5
2004	195.9	196.8	198.6	199.4	199.9	201.1	201.0	201.0	201.2	202.5	202.6	201.9	200.2
2005	202.6	203.6	206.0	206.9	206.2	206.2	207.9	208.7	210.8	211.5	210.0	209.0	207.5
2006	211.0	211.6	212.8	214.7	215.7	216.7	217.5	218.1	216.3	215.2	214.8	215.2	215.0
2007	215.813	216.651	218.334	219.501	220.591	221.579	221.945	221.559	221.436	221.951	223.356	223.425	220.512
2008	224.325	225.213	226.926	228.133	230.089	232.649	234.545	233.788	232.841	230.837	227.236	225.091	229.306
2009	225.436	226.754	227.309	227.840	228.136	229.930	230.154	230.883	231.200	231.304	231.708	231.462	229.343
2010	232.294	232.382	233.188	233.615	234.130	233.834	233.885	234.150	234.027	234.671	235.094	235.141	233.868
2011	235.969	237.110	239.074	240.267	241.566	241.690	242.282	243.033	243.323	243.014	242.652	241.987	240.997
2012	242.879	243.850	245.125	245.850	245.709	245.201	244.984	246.252	247.409	247.564	247.097	246.456	245.698
2013	247.277	248.665	248.719	248.464	248.584	248.851	249.411	249.858	250.231	249.320	249.503	249.567	249.038
2014	251.045	251.233	252.413	252.506	253.598	253.555	253.833	253.185	253.154	252.730	251.781	250.519	252.463
2015	250.016	250.619	251.451	251.760	252.770	253.626	253.405	252.903	252.922	252.504	252.573	251.670	252.185
2016	251.739	252.250	252.854	254.270	255.023	255.471	255.386	255.545	256.085	256.605	256.541	256.427	254.850
2017	258.073	258.768	258.510	259.165	259.386	259.335	258.833	259.508	260.875	260.580	260.630	260.791	259.538
2018	262.188	263.260	263.556	264.669	265.840	265.950	265.830	266.425	266.709	266.464	265.487	265.286	265.139
2019	266.109	266.706	268.025	269.070	269.744	270.133	270.381	270.548	270.563	270.348	270.643	270.429	269.392
2020	272.316	273.080	272.531	271.325	271.345	272.283	273.347	273.597	273.925	273.374	273.543	274.225	272.908
2021	275.427	276.473	278.197	280.234	281.858	284.741	285.220	285.630	286.423	288.236	289.835	290.405	283.557
2022	292.644	294.605	298.403	300.325	302.939	306.453	305.916	306.855	307.152	308.001	308.394	308.150	303.320
