	state	name	Year	price	season pass	payback
0	Maine	Sunday River	1994	43		
1	Maine	Sugarloaf	1994	43		
2	Maine	Mt. Jefferson	1994	15		
3	Maine	Mt. Jefferson	1995	15		
4	Maine	Sugarloaf USA	1996	46		
5	Maine	Shawnee Peak	1996	35		
6	Maine	Mt. Abram	1996	29		
7	Maine	Camden Snow Bowl	1996	24		
8	Maine	Sunday River	1997	47		
9	Maine	Sugarloaf USA	1997	47		
10	Maine	Shawnee Peak	1997	38		
11	Maine	Lost Valley	1997	30	450	5
12	Maine	Sunday River	1998	49		
13	Maine	Saddleback	1998	42		
14	Maine	Lost Valley	1998	30	450	5
15	Maine	Camden Snow Bowl	1998	28	360	2
16	Maine	Titcomb	1998	14		
17	Maine	Sunday River	1999	49		
18	Maine	Saddleback	1999	45		
19	Maine	Shawnee Peak	1999	39	599	5
20	Maine	Mt. Abram	1999	32		
21	Maine	Lost Valley	1999	30		
22	Maine	Camden Snow Bowl	1999	29	360	2
23	Maine	Squaw Mountain	1999	20		
24	Maine	Eaton Mountain	1999	18		
25	Maine	Hermon	1999	18		
26	Maine	Sugarloaf USA	2000	51	1295	5
27	Maine	Sunday River	2000	51		
28	Maine	Saddleback	2000	47	725	5
29	Maine	Shawnee Peak	2000	39	675	7
30	Maine	Mt. Abram	2000	33	400	2
31	Maine	Lost Valley	2000	30		
32	Maine	Camden Snow Bowl	2000	28	360	2
33	Maine	Eaton Mountain	2000	19	300	5
34	Maine	Titcomb Mountain	2000	16		
35	Maine	Sunday River	2001	52	1245	3
36	Maine	Sugarloaf USA	2001	52	1245	3
37	Maine	Saddleback	2001	49	775	5
38	Maine	Shawnee Peak	2001	41	699	7
39	Maine	Mt. Abram	2001	35		
40	Maine	Lost Valley	2001	30	440	4
41	Maine	Camden Snow Bowl	2001	28	360	2
42	Maine	Eaton Mountain	2001	20	310	5
43	Maine	Titcomb Mountain	2001	16		
44	Maine	Sunday River	2002	53	1249	3
45	Maine	Sugarloaf USA	2002	53	1249	3
46	Maine	Saddleback	2002	49	975	9
47	Maine	Shawnee Peak	2002	42	699	6
48	Maine	Mt. Abram	2002	35	575	6
49	Maine	Lost Valley	2002	31	440	4
50	Maine	Camden Snow Bowl	2002	28	360	2
51	Maine	Big Squaw	2002	25		
52	Maine	Eaton Mountain	2002	22	310	4
53	Maine	Titcomb Mountain	2002	17		
54	Maine	Mt. Jefferson	2002	15	160	0
55	Maine	Sunday River	2003	56	1249	2
56	Maine	Sugarloaf USA	2003	56	1249	2
57	Maine	Shawnee Peak	2003	42	709	6
58	Maine	Mt. Abram	2003	37	575	5
59	Maine	Saddleback	2003	35	700	0
60	Maine	Lost Valley	2003	31	440	4
61	Maine	Camden Snow Bowl	2003	28	390	3
62	Maine	Eaton Mountain	2003	22	310	4
63	Maine	Big Rock	2003	20	325	6
64	Maine	Titcomb Mountain	2003	19		
65	Maine	Big Squaw	2003	19		
66	Maine	Black Mountain	2003	17	295	7
67	Maine	Mt. Jefferson	2003	15	160	0
68	Maine	Sunday River	2004	59	1100	8
69	Maine	Sugarloaf USA	2004	58	1100	9
70	Maine	Shawnee Peak	2004	44	699	5
71	Maine	Mt. Abram	2004	41	575	4
72	Maine	Saddleback	2004	35	595	7
73	Maine	Lost Valley	2004	31	440	4
