year,month,temperature
1895,01,26.69
1895,02,26.60
1895,03,39.97
1895,04,52.90
1895,05,59.94
1895,06,67.80
1895,07,71.24
1895,08,71.62
1895,09,65.57
1895,10,50.85
1895,11,39.16
1895,12,31.71
1896,01,31.48
1896,02,35.04
1896,03,38.03
1896,04,52.34
1896,05,62.46
1896,06,69.89
1896,07,73.69
1896,08,72.27
1896,09,62.94
1896,10,51.91
1896,11,38.32
1896,12,35.55
1897,01,28.17
1897,02,33.39
1897,03,38.79
1897,04,51.15
1897,05,61.18
1897,06,68.11
1897,07,73.36
1897,08,71.35
1897,09,66.40
1897,10,55.11
1897,11,40.91
1897,12,30.76
1898,01,30.67
1898,02,35.37
1898,03,41.05
1898,04,50.79
1898,05,59.94
1898,06,69.31
1898,07,73.29
1898,08,72.75
1898,09,65.46
1898,10,51.49
1898,11,38.39
1898,12,28.67
1899,01,29.68
1899,02,25.50
1899,03,37.63
1899,04,50.61
1899,05,59.90
1899,06,68.65
1899,07,73.08
1899,08,71.74
1899,09,64.80
1899,10,53.98
1899,11,44.92
1899,12,31.62
1900,01,34.11
1900,02,30.76
1900,03,41.27
1900,04,51.60
1900,05,61.74
1900,06,70.30
1900,07,73.13
1900,08,72.86
1900,09,65.14
1900,10,56.35
1900,11,41.54
1900,12,34.48
1901,01,31.62
1901,02,29.86
1901,03,40.71
1901,04,49.39
1901,05,61.18
1901,06,68.43
1901,07,76.24
1901,08,73.20
1901,09,63.25
1901,10,55.45
1901,11,41.68
1901,12,31.48
1902,01,30.06
1902,02,31.46
1902,03,41.58
1902,04,50.85
1902,05,61.99
1902,06,68.04
1902,07,72.05
1902,08,71.37
1902,09,62.76
1902,10,54.43
1902,11,43.68
1902,12,30.79
1903,01,30.88
1903,02,28.42
1903,03,42.21
1903,04,50.22
1903,05,59.54
1903,06,65.89
1903,07,71.92
1903,08,70.97
1903,09,62.73
1903,10,53.94
1903,11,40.23
1903,12,30.54
1904,01,27.55
1904,02,31.59
1904,03,41.76
1904,04,49.46
1904,05,60.13
1904,06,67.26
1904,07,71.35
1904,08,70.72
1904,09,64.96
1904,10,53.92
1904,11,43.14
1904,12,32.02
1905,01,27.10
1905,02,26.94
1905,03,45.12
1905,04,50.49
1905,05,59.14
1905,06,68.00
1905,07,71.98
1905,08,72.37
1905,09,65.95
1905,10,51.64
1905,11,42.24
1905,12,30.99
1906,01,32.88
1906,02,33.69
1906,03,36.10
1906,04,52.72
1906,05,59.58
1906,06,67.32
1906,07,72.36
1906,08,71.85
1906,09,66.25
1906,10,52.54
1906,11,40.44
1906,12,34.97
1907,01,30.69
1907,02,35.46
1907,03,45.70
1907,04,47.53
1907,05,55.89
1907,06,65.70
1907,07,72.52
1907,08,70.79
1907,09,64.22
1907,10,53.78
1907,11,40.82
1907,12,34.70
1908,01,32.45
1908,02,33.01
1908,03,43.92
1908,04,52.75
1908,05,58.82
1908,06,66.92
1908,07,73.18
1908,08,70.68
1908,09,65.59
1908,10,51.76
1908,11,42.53
1908,12,33.31
1909,01,32.31
1909,02,35.02
1909,03,40.35
1909,04,48.96
1909,05,58.14
1909,06,68.94
1909,07,72.63
1909,08,72.93
1909,09,64.40
1909,10,52.88
1909,11,45.03
1909,12,25.61
1910,01,29.61
1910,02,29.30
1910,03,49.44
1910,04,53.62
1910,05,59.22
1910,06,68.29
1910,07,74.12
1910,08,71.11
1910,09,65.68
1910,10,55.62
1910,11,41.13
1910,12,31.93
1911,01,32.90
1911,02,33.66
1911,03,44.02
1911,04,50.00
1911,05,61.21
1911,06,70.75
1911,07,72.68
1911,08,70.90
1911,09,66.09
1911,10,52.66
1911,11,37.27
1911,12,32.20
1912,01,24.76
1912,02,31.08
1912,03,35.76
1912,04,50.58
1912,05,60.48
1912,06,66.70
1912,07,72.25
1912,08,70.12
1912,09,62.73
1912,10,53.17
1912,11,42.21
1912,12,32.95
1913,01,30.47
1913,02,29.50
1913,03,38.71
1913,04,51.39
1913,05,60.13
1913,06,68.22
1913,07,73.00
1913,08,73.36
1913,09,63.64
1913,10,51.64
1913,11,45.12
1913,12,33.33
1914,01,34.50
1914,02,29.52
1914,03,40.75
1914,04,51.04
1914,05,61.14
1914,06,69.35
1914,07,74.08
1914,08,71.69
1914,09,64.58
1914,10,55.24
1914,11,43.41
1914,12,26.78
1915,01,28.44
1915,02,35.94
1915,03,36.95
1915,04,54.57
1915,05,58.17
1915,06,66.07
1915,07,71.01
1915,08,70.16
1915,09,64.42
1915,10,55.35
1915,11,43.11
1915,12,33.17
1916,01,28.22
1916,02,33.03
1916,03,42.15
1916,04,50.25
1916,05,59.31
1916,06,66.31
1916,07,74.28
1916,08,71.82
1916,09,63.50
1916,10,52.14
1916,11,40.23
1916,12,28.94
1917,01,28.27
1917,02,30.09
1917,03,38.35
1917,04,48.63
1917,05,55.13
1917,06,66.97
1917,07,74.61
1917,08,71.02
1917,09,64.09
1917,10,50.41
1917,11,43.54
1917,12,29.64
1918,01,23.86
1918,02,33.82
1918,03,45.75
1918,04,49.03
1918,05,60.80
1918,06,71.15
1918,07,72.45
1918,08,72.50
1918,09,61.92
1918,10,56.17
1918,11,40.51
1918,12,34.45
1919,01,31.82
1919,02,32.25
1919,03,40.89
1919,04,51.35
1919,05,60.03
1919,06,69.30
1919,07,74.35
1919,08,72.27
1919,09,65.64
1919,10,52.59
1919,11,39.31
1919,12,28.78
1920,01,29.23
1920,02,33.69
1920,03,40.28
1920,04,46.78
1920,05,59.31
1920,06,67.37
1920,07,72.70
1920,08,70.63
1920,09,65.44
1920,10,54.63
1920,11,39.70
1920,12,33.13
1921,01,34.36
1921,02,36.90
1921,03,46.63
1921,04,51.01
1921,05,60.10
1921,06,70.36
1921,07,74.66
1921,08,72.03
